Restaurante,Estilo,Rating Google,Ticket,"Dato ""Top"" / Premios"
Sartoria Panatieri,Pizza Orgánica,4.4 (2.3k res.),30-45€,Mejor Pizzería de Europa 2023 y Top 3 Mundial. Hacen sus propios embutidos.
Xemei,Veneciano,4.1 (1.8k res.),40-60€,Culto. Los gemelos Colombo. Anthony Bourdain lo visitó y adoró. Cocina veneciana (no típica pasta/pizza).
Murivecchi,Napolitano,4.4 (1.5k res.),25-35€,Clásico cerca del Born. Pizza napolitana al horno de leña muy fiable.
Le Cucine Mandarosso,Italiano Casero,4.4 (1.2k res.),25-35€,Cerca del Palau de la Música. Famoso por sus pastas frescas y ambiente íntimo.
Ostaia,Liguria / Genovés,4.5 (200 res.),30-40€,Especialistas en Pesto Genovés auténtico y pastas frescas de Liguria.
L’osteria del Contadino,Italiano,4.4 (400 res.),25-35€,"Pequeño, romántico y colorido. Platos de pasta muy visuales."
Rest. Don Corleone,Trattoria,3.8 (variable),20-30€,Más enfocado a perfil turístico/casual.
Bella Italia,Pizzería,4.5 (1.5k res.),20-30€,Pizza napolitana popular y accesible.
Oaxaca Cuina Mexicana,Tradicional / Mezcal,4.3 (1.5k res.),45-60€,Recomendado Michelin. Cocina ancestral. Tiene una de las mayores colecciones de Mezcal de Europa.
Xuba Tacos,Tacos Chef,4.6 (900 res.),15-25€,Creado por chef 2 Estrellas Michelin (Antonio Sáez). Tortillas de maíz azul hechas al momento.
El Pachuco,Street Food,4.6 (2.5k res.),15-20€,Famosísimos Nachos. Siempre hay cola. Ambiente canalla y ruidoso.
La Cocina de Graciela,Casero,4.5 (800 res.),20-30€,Auténtico sabor de hogar mexicano. Cochinita pibil muy destacada.
El Rincón Maya,Yucateco,4.6 (600 res.),20-30€,Especialistas en cocina de Yucatán. Ambiente familiar y colorido.
La Güerita Mexicana,Taquería,4.4 (variable),20-30€,Tacos bien ejecutados y ambiente festivo.
San Taco,Tacos,4.5 (variable),15-25€,Opción sólida para antojo de tacos.
Chamako,Tex-Mex / Fiesta,4.2 (800 res.),20-30€,Tacos y cócteles. Ambiente muy enfocado a grupos y diversión.
Rosa Negra,Mexicano Comercial,4.2 (5k res.),20-25€,Muy barato y ruidoso. Famoso por mojitos y margaritas económicos.
Azul Frida,Mexicano,4.1 (variable),20-30€,"Inspiración en Frida Kahlo, cocina correcta."
Fat Veggies,Ahumados / Veggie,4.6 (500 res.),30-40€,De los creadores de Fat Barbies. Todo se pasa por humo/brasa. Sorprendente aunque no seas vegetariano.
Restaurante Martínez,Arroces / Brasas,4.2 (4k res.),50-65€,Las Vistas. Situado en Montjuïc. Arroces y chuletones con vistas al puerto.
La Real Hamburguesería,Burgers Gourmet,4.5 (1.5k res.),15-25€,Ganadores de varios concursos locales de hamburguesas. Estilo americano clásico.
Bar Torpedo,Bocadillos Gourmet,4.4 (800 res.),20-30€,"Del chef de Bar Mut. Bocadillos de nivel estrella Michelin, rock & roll y copas."
El Raconet Charrua,Uruguayo,4.6 (500 res.),25-40€,Carne uruguaya a la parrilla y chivitos. Muy auténtico.
The Box,Hot Dogs / Ron,4.7 (800 res.),15-25€,Salchichas caseras y rones infusionados por ellos mismos. Pequeño y divertido.
Oriol Balaguer,Pastelería,4.4 (variable),5-15€,Mejor Croissant de España (2014) y Mejor Panettone. Uno de los mejores pasteleros del mundo.
Paral·lelo,Heladería,4.7 (1k res.),4-10€,Premios a mejor helado. Hacen todo desde cero (incluso tuestan sus pistachos). Sabores muy locos.
Zenith,Brunch,4.5 (3k res.),15-25€,"""All day brunch"". Muy instagrameable. Pancakes y huevos benedict. Suele haber cola."
Honest Greens,Saludable,4.5 (variable),15-20€,"Cadena de comida ""real"", rápida y sana. Muy de moda ahora mismo."
LOT Roasters,Café / Brunch,4.7 (300 res.),10-20€,Tuestan su propio café. Calidad de barista muy alta.
Churrería Manchega,Churros,4.4 (variable),5-10€,Clásico para chocolate con churros.
La Caravana,Kebab Sirio,4.6 (1k res.),10-15€,No es un kebab normal. Carne marinada de verdad y salsas caseras.
Observatorio Fabra,"""Cena con Estrellas""",4.6 (1.5k res.),80-100€,Experiencia Única. Cenas en verano al aire libre en el observatorio astronómico con vistas a toda BCN.
Mirablau,Bar / Vistas,4.2 (3.5k res.),15-30€,Al final del Tibidabo. Se va por las vistas panorámicas de la ciudad.
Restaurante Mirabé,Mediterránea,4.0 (1.5k res.),40-50€,"Al lado del Mirablau, más enfocado a cena sentada con vistas."
Prineu en boca Barcelona,Mediterránea,4.6 (1.4k res.),20-30€,Es carniceria y tienen su propio restaurante, especial para carne.
